timestamp,cpu_percent,memory_percent,net_sent_MB,net_recv_MB
2025-07-24 13:51:56.144866,22.4,86.3,0.00,0.00
2025-07-24 13:51:57.165005,18.0,86.4,0.00,0.00
2025-07-24 13:51:58.184779,18.1,86.4,0.00,0.00
2025-07-24 13:51:59.218182,14.9,86.4,0.00,0.00
2025-07-24 13:52:00.235421,14.4,86.4,0.00,0.00
2025-07-24 13:52:01.253053,25.1,86.5,0.00,0.00
2025-07-24 13:52:02.282353,13.6,86.4,0.00,0.00
2025-07-24 13:52:03.296884,34.5,86.5,0.00,0.00
2025-07-24 13:52:04.329782,21.6,86.5,0.00,0.01
2025-07-24 13:52:05.344024,34.3,86.6,0.00,0.00
2025-07-24 13:52:06.380781,26.8,86.6,0.01,0.00
2025-07-24 13:52:07.406688,35.3,86.9,0.01,0.01
2025-07-24 13:52:08.426804,58.3,86.8,0.00,0.00
2025-07-24 13:52:09.445095,29.5,87.0,0.00,0.00
2025-07-24 13:52:10.468364,27.5,87.4,0.00,0.00
2025-07-24 13:52:11.488920,52.0,87.6,0.00,0.00
2025-07-24 13:52:12.505596,39.7,87.6,0.00,0.00
2025-07-24 13:52:13.533092,35.2,87.6,0.00,0.01
2025-07-24 13:52:14.567109,21.8,87.8,0.00,0.01
2025-07-24 13:52:15.599197,16.8,87.8,0.00,0.02
2025-07-24 13:52:16.627752,12.8,87.8,0.00,0.01
2025-07-24 13:52:17.644322,18.0,87.8,0.00,0.00
2025-07-24 13:52:18.682443,15.2,87.8,0.00,0.01
2025-07-24 13:52:19.699323,15.7,87.6,0.00,0.00
2025-07-24 13:52:20.735906,15.0,87.7,0.00,0.00
2025-07-24 13:52:21.762307,17.1,87.5,0.00,0.00
2025-07-24 13:52:22.786011,14.1,87.4,0.00,0.00
2025-07-24 13:52:23.811669,12.6,87.5,0.00,0.00
2025-07-24 13:52:24.838371,11.6,87.5,0.00,0.00
2025-07-24 13:52:25.845639,13.9,87.4,0.00,0.00
2025-07-24 13:52:26.886203,11.7,87.4,0.00,0.00
2025-07-24 13:52:27.908242,18.6,87.5,0.00,0.00
2025-07-24 13:52:28.934182,9.9,87.5,0.00,0.00
2025-07-24 13:52:29.961689,25.1,87.5,0.00,0.00
2025-07-24 13:52:30.976607,26.0,85.1,0.00,0.00
2025-07-24 13:52:31.990681,25.8,84.5,0.00,0.06
2025-07-24 13:52:33.017809,20.6,84.3,0.00,0.00
2025-07-24 13:52:34.042800,15.5,84.4,0.00,0.00
2025-07-24 13:52:35.080041,13.2,84.3,0.00,0.00
2025-07-24 13:52:36.109539,10.8,84.4,0.00,0.00
2025-07-24 13:52:37.130732,17.0,84.3,0.00,0.00
2025-07-24 13:52:38.152975,20.1,84.4,0.00,0.01
2025-07-24 13:52:39.193800,20.1,84.2,0.01,0.02
2025-07-24 13:52:40.212335,16.9,84.3,0.00,0.00
2025-07-24 13:52:41.248925,13.0,84.2,0.00,0.00
2025-07-24 13:52:42.269219,11.8,84.3,0.00,0.00
2025-07-24 13:52:43.289584,20.0,84.2,0.00,0.00
2025-07-24 13:52:44.321595,17.4,84.3,0.00,0.00
2025-07-24 13:52:45.328951,15.8,84.2,0.00,0.00
2025-07-24 13:52:46.353834,10.2,84.3,0.00,0.00
2025-07-24 13:52:47.380456,9.7,84.2,0.00,0.00
2025-07-24 13:52:48.389422,19.5,83.7,0.00,0.00
2025-07-24 13:52:49.431747,13.6,83.8,0.00,0.00
2025-07-24 13:52:50.457481,11.3,83.8,0.00,0.00
2025-07-24 13:52:51.482173,8.9,83.8,0.00,0.00
2025-07-24 13:52:52.504052,18.6,83.8,0.00,0.00
2025-07-24 13:52:53.528475,21.0,83.8,0.00,0.00
2025-07-24 13:52:54.571384,13.7,83.8,0.00,0.00
2025-07-24 13:52:55.596611,9.7,83.8,0.00,0.00
2025-07-24 13:52:56.624044,17.4,83.8,0.00,0.00
2025-07-24 13:52:57.643520,13.5,83.9,0.00,0.00
2025-07-24 13:52:58.644121,26.8,83.9,0.00,0.00
2025-07-24 13:52:59.673080,15.2,83.9,0.00,0.00
2025-07-24 13:53:00.698554,12.3,83.9,0.00,0.00
2025-07-24 13:53:01.720349,15.0,83.8,0.00,0.00
2025-07-24 13:53:02.735910,18.5,83.8,0.00,0.00
2025-07-24 13:53:03.750938,14.2,83.8,0.00,0.00
2025-07-24 13:53:04.768105,17.4,83.8,0.00,0.00
2025-07-24 13:53:05.782466,12.9,83.8,0.00,0.00
2025-07-24 13:53:06.801669,10.8,83.8,0.00,0.00
2025-07-24 13:53:07.814488,14.3,83.8,0.00,0.00
2025-07-24 13:53:08.824145,15.5,83.8,0.00,0.00
2025-07-24 13:53:09.864817,20.3,83.8,0.00,0.00
2025-07-24 13:53:10.894978,12.1,83.8,0.00,0.00
2025-07-24 13:53:11.914976,17.1,83.8,0.00,0.00
2025-07-24 13:53:12.940001,11.1,83.8,0.00,0.00
2025-07-24 13:53:13.972162,11.4,83.8,0.00,0.00
2025-07-24 13:53:15.007679,17.8,83.8,0.00,0.00
2025-07-24 13:53:16.037376,15.8,83.8,0.00,0.00
2025-07-24 13:53:17.070669,20.8,83.8,0.00,0.00
2025-07-24 13:53:18.109117,10.1,83.8,0.00,0.00
2025-07-24 13:53:19.135571,14.2,83.8,0.00,0.00
2025-07-24 13:53:20.170405,23.4,83.9,0.00,0.00
2025-07-24 13:53:21.205826,9.4,83.8,0.00,0.00
2025-07-24 13:53:22.240931,12.5,83.7,0.00,0.00
2025-07-24 13:53:23.269611,16.9,83.7,0.00,0.00
2025-07-24 13:53:24.298750,25.1,83.1,0.00,0.00
2025-07-24 13:53:25.328678,20.3,83.1,0.00,0.00
2025-07-24 13:53:26.349078,17.4,83.2,0.00,0.00
2025-07-24 13:53:27.375431,16.7,83.1,0.00,0.00
2025-07-24 13:53:28.412224,13.8,83.0,0.00,0.00
2025-07-24 13:53:29.443039,13.9,83.0,0.00,0.00
2025-07-24 13:53:30.463929,18.8,83.0,0.00,0.00
2025-07-24 13:53:31.489478,19.5,83.1,0.00,0.00
2025-07-24 13:53:32.525585,20.7,83.1,0.00,0.00
2025-07-24 13:53:33.542759,18.2,83.1,0.00,0.00
2025-07-24 13:53:34.565685,17.0,83.1,0.00,0.00
2025-07-24 13:53:35.588273,25.2,83.1,0.00,0.00
2025-07-24 13:53:36.612123,13.6,83.1,0.00,0.00
2025-07-24 13:53:37.639970,13.7,83.1,0.00,0.00
2025-07-24 13:53:38.649415,10.5,83.1,0.00,0.00
2025-07-24 13:53:39.692527,14.0,83.1,0.00,0.00
2025-07-24 13:53:40.719023,15.3,83.0,0.00,0.00
2025-07-24 13:53:41.748319,12.5,83.1,0.00,0.00
2025-07-24 13:53:42.776076,18.0,83.1,0.00,0.00
2025-07-24 13:53:43.803678,15.6,83.1,0.00,0.00
