timestamp,cpu_percent,memory_percent,net_sent_MB,net_recv_MB
2025-07-24 12:58:51.765300,12.4,75.0,0.00,0.00
2025-07-24 12:58:52.792334,7.9,74.9,0.00,0.00
2025-07-24 12:58:53.807458,18.0,74.9,0.00,0.00
2025-07-24 12:58:54.843484,13.8,74.8,0.00,0.00
2025-07-24 12:58:55.872643,13.1,74.9,0.01,0.00
2025-07-24 12:58:56.896465,14.9,74.9,0.00,0.01
2025-07-24 12:58:57.927845,7.8,74.9,0.00,0.00
2025-07-24 12:58:58.942624,13.2,74.9,0.00,0.00
2025-07-24 12:58:59.971912,18.4,74.8,0.00,0.00
2025-07-24 12:59:00.992972,11.2,74.8,0.00,0.00
2025-07-24 12:59:02.004255,14.4,74.8,0.00,0.00
2025-07-24 12:59:03.028723,13.0,74.7,0.00,0.00
2025-07-24 12:59:04.061606,14.3,74.7,0.00,0.00
2025-07-24 12:59:05.078979,22.7,74.9,0.00,0.00
2025-07-24 12:59:06.106767,19.2,74.9,0.00,0.00
2025-07-24 12:59:07.124743,19.7,74.8,0.00,0.00
2025-07-24 12:59:08.149808,13.4,74.8,0.00,0.00
2025-07-24 12:59:09.175000,16.2,74.8,0.00,0.00
2025-07-24 12:59:10.220608,23.8,74.9,0.00,0.00
2025-07-24 12:59:11.234001,15.0,74.9,0.00,0.00
2025-07-24 12:59:12.277581,14.8,74.8,0.00,0.00
2025-07-24 12:59:13.308700,17.8,74.8,0.00,0.00
2025-07-24 12:59:14.343460,14.2,74.8,0.00,0.00
2025-07-24 12:59:15.387443,21.3,74.7,0.00,0.00
2025-07-24 12:59:16.424288,16.6,74.8,0.00,0.00
2025-07-24 12:59:17.440021,14.8,74.8,0.00,0.00
2025-07-24 12:59:18.450772,17.0,75.5,0.00,0.00
2025-07-24 12:59:19.492741,13.9,75.5,0.00,0.00
2025-07-24 12:59:20.521206,58.1,76.6,0.01,0.00
2025-07-24 12:59:21.539609,42.9,77.4,0.04,0.00
2025-07-24 12:59:22.570690,63.5,78.4,0.00,0.01
2025-07-24 12:59:23.595354,70.2,78.6,0.01,0.00
2025-07-24 12:59:24.610238,74.8,78.8,0.03,0.00
2025-07-24 12:59:25.629417,34.7,78.8,0.00,0.00
2025-07-24 12:59:26.646294,37.5,78.9,0.00,0.00
2025-07-24 12:59:27.664688,38.2,79.2,0.00,0.01
2025-07-24 12:59:28.680172,42.7,80.3,0.02,0.00
2025-07-24 12:59:29.697015,35.6,81.5,0.00,0.01
2025-07-24 12:59:30.717843,55.1,82.9,0.00,0.00
2025-07-24 12:59:31.732309,36.4,83.9,0.00,0.00
2025-07-24 12:59:32.760632,35.1,85.2,0.00,0.00
2025-07-24 12:59:33.780656,39.5,86.3,0.00,0.00
2025-07-24 12:59:34.795555,27.0,87.0,0.00,0.00
2025-07-24 12:59:35.813010,39.1,88.4,0.00,0.00
2025-07-24 12:59:36.830519,48.3,88.3,0.00,0.00
2025-07-24 12:59:37.861388,24.9,88.3,0.00,0.00
2025-07-24 12:59:38.878491,24.9,86.8,0.02,0.00
2025-07-24 12:59:39.909552,21.8,85.9,0.02,0.00
2025-07-24 12:59:40.926340,14.1,85.8,0.00,0.00
2025-07-24 12:59:41.965177,35.7,85.8,0.00,0.00
2025-07-24 12:59:42.988497,34.5,85.9,0.00,0.00
2025-07-24 12:59:44.011103,100.0,90.0,0.00,0.00
2025-07-24 12:59:45.033753,99.6,87.9,0.00,0.00
2025-07-24 12:59:46.054986,99.6,88.0,0.00,0.00
2025-07-24 12:59:47.074772,100.0,88.0,0.00,0.00
2025-07-24 12:59:48.116761,99.8,90.5,0.00,0.00
2025-07-24 12:59:49.168491,100.0,89.6,0.00,0.00
2025-07-24 12:59:50.226328,100.0,89.6,0.00,0.00
2025-07-24 12:59:51.409379,98.9,71.3,0.00,0.00
2025-07-24 12:59:52.431623,96.7,70.9,0.00,0.00
2025-07-24 12:59:53.453081,79.0,70.0,0.00,0.00
2025-07-24 12:59:54.477574,69.1,69.4,0.02,0.00
2025-07-24 12:59:55.496833,54.1,69.7,0.00,0.00
2025-07-24 12:59:56.515972,51.7,69.4,0.00,0.00
2025-07-24 12:59:57.534287,55.8,69.5,0.00,0.00
2025-07-24 12:59:58.551422,44.3,69.5,0.00,0.00
2025-07-24 12:59:59.571103,39.6,69.4,0.00,0.00
2025-07-24 13:00:00.587686,54.1,69.5,0.00,0.00
2025-07-24 13:00:01.602149,47.3,69.4,0.00,0.00
2025-07-24 13:00:02.620069,47.5,69.5,0.00,0.00
2025-07-24 13:00:03.636877,49.5,69.3,0.00,0.00
2025-07-24 13:00:04.654994,37.4,69.4,0.00,0.00
2025-07-24 13:00:05.679855,46.1,69.7,0.00,0.00
2025-07-24 13:00:06.697645,48.9,69.5,0.00,0.00
2025-07-24 13:00:07.716247,58.0,69.5,0.00,0.00
2025-07-24 13:00:08.735429,42.7,69.5,0.00,0.00
2025-07-24 13:00:09.752559,45.2,69.4,0.00,0.00
2025-07-24 13:00:10.767573,42.8,69.4,0.00,0.00
2025-07-24 13:00:11.783859,39.7,69.5,0.00,0.00
2025-07-24 13:00:12.802812,54.4,69.5,0.00,0.00
2025-07-24 13:00:13.817766,42.3,69.5,0.00,0.00
2025-07-24 13:00:14.838299,38.2,69.6,0.00,0.00
2025-07-24 13:00:15.854687,51.0,69.6,0.00,0.00
2025-07-24 13:00:16.871855,35.1,69.5,0.00,0.00
2025-07-24 13:00:17.893928,37.8,69.7,0.00,0.00
2025-07-24 13:00:18.913572,43.4,69.7,0.00,0.00
2025-07-24 13:00:19.927929,33.5,69.6,0.00,0.00
2025-07-24 13:00:20.941450,22.2,69.6,0.00,0.00
2025-07-24 13:00:21.954701,25.2,69.5,0.00,0.00
2025-07-24 13:00:22.970494,31.0,69.5,0.00,0.00
2025-07-24 13:00:23.992499,34.9,69.5,0.00,0.00
2025-07-24 13:00:25.008541,18.4,69.3,0.00,0.00
2025-07-24 13:00:26.024532,20.7,69.3,0.00,0.00
2025-07-24 13:00:27.042107,17.9,69.5,0.00,0.00
2025-07-24 13:00:28.084565,20.1,69.5,0.00,0.00
2025-07-24 13:00:29.114454,15.1,69.5,0.00,0.00
2025-07-24 13:00:30.139534,11.0,69.5,0.00,0.00
2025-07-24 13:00:31.178890,12.4,69.5,0.00,0.00
2025-07-24 13:00:32.210405,19.8,69.5,0.00,0.00
2025-07-24 13:00:33.226982,9.1,69.5,0.00,0.00
2025-07-24 13:00:34.261877,31.2,69.5,0.00,0.00
2025-07-24 13:00:35.291499,9.9,69.5,0.00,0.00
2025-07-24 13:00:36.317749,13.9,69.5,0.00,0.00
2025-07-24 13:00:37.347753,12.7,69.5,0.00,0.00
2025-07-24 13:00:38.369190,42.9,70.4,0.04,0.00
2025-07-24 13:00:39.393452,25.6,70.8,0.01,0.01
2025-07-24 13:00:40.412651,14.0,70.7,0.00,0.01
2025-07-24 13:00:41.430907,10.5,70.7,0.00,0.00
2025-07-24 13:00:42.445446,13.6,70.5,0.00,0.00
2025-07-24 13:00:43.461129,21.5,70.6,0.02,0.00
2025-07-24 13:00:44.477075,48.3,70.9,0.00,0.00
2025-07-24 13:00:45.488648,15.7,70.9,0.00,0.00
2025-07-24 13:00:46.529437,21.4,71.1,0.03,0.00
2025-07-24 13:00:47.565318,19.3,71.1,0.00,0.00
2025-07-24 13:00:48.579332,17.7,71.1,0.00,0.00
2025-07-24 13:00:49.603884,36.6,72.1,0.00,0.00
2025-07-24 13:00:50.617191,27.2,72.9,0.03,0.00
2025-07-24 13:00:51.632906,36.2,74.2,0.01,0.00
2025-07-24 13:00:52.646393,25.9,75.5,0.00,0.00
2025-07-24 13:00:53.678793,25.5,76.7,0.01,0.00
2025-07-24 13:00:54.709119,32.1,78.1,0.00,0.00
2025-07-24 13:00:55.723460,35.4,79.4,0.00,0.00
2025-07-24 13:00:56.737307,27.7,80.4,0.00,0.00
2025-07-24 13:00:57.761972,38.8,80.8,0.00,0.00
2025-07-24 13:00:58.788001,24.8,80.7,0.00,0.00
2025-07-24 13:00:59.802268,23.9,80.8,0.02,0.00
2025-07-24 13:01:00.831422,17.2,80.8,0.02,0.00
2025-07-24 13:01:01.850170,7.8,80.8,0.00,0.00
2025-07-24 13:01:02.865133,14.1,80.8,0.00,0.00
2025-07-24 13:01:03.878404,9.1,80.8,0.01,0.00
2025-07-24 13:01:04.900559,14.9,80.8,0.00,0.00
2025-07-24 13:01:05.920039,17.3,80.8,0.00,0.00
2025-07-24 13:01:06.955192,12.4,80.8,0.00,0.00
