date,cash,positions_value,equity,daily_return
20250725,99921289.59,0.0,99921289.59,-0.000787
20250726,99921289.59,0.0,99921289.59,0.0
20250727,99921289.59,0.0,99921289.59,0.0
20250728,99773368.78,0.0,99773368.78,-0.00148
20250729,99769558.3,0.0,99769558.3,-3.8e-05
20250730,99748533.88,0.0,99748533.88,-0.000211
20250731,99833656.52,0.0,99833656.52,0.000853
20250801,99562687.24,0.0,99562687.24,-0.002714
20250802,99562687.24,0.0,99562687.24,0.0
20250803,99562687.24,0.0,99562687.24,0.0
20250804,99587622.3,0.0,99587622.3,0.00025
20250805,99618931.17,0.0,99618931.17,0.000314
20250806,99700933.99,0.0,99700933.99,0.000823
20250807,99556979.0,0.0,99556979.0,-0.001444
20250808,99568489.19,0.0,99568489.19,0.000116
20250809,99568489.19,0.0,99568489.19,-0.0
20250810,99568489.19,0.0,99568489.19,-0.0
20250811,99559976.48,0.0,99559976.48,-8.5e-05
20250812,99518819.59,0.0,99518819.59,-0.000413
20250813,99541613.75,0.0,99541613.75,0.000229
20250814,99563261.03,0.0,99563261.03,0.000217
20250815,99563261.03,0.0,99563261.03,0.0
20250816,99563261.03,0.0,99563261.03,0.0
20250817,99563261.03,0.0,99563261.03,0.0
20250818,99482459.52,0.0,99482459.52,-0.000812
20250819,99341525.1,0.0,99341525.1,-0.001417
20250820,99287955.29,0.0,99287955.29,-0.000539
20250821,99215933.93,0.0,99215933.93,-0.000725
