종목코드,현재가,기대수익,예상손실,손익비,상승확률(%),권장수량,루프,타임스탬프
012450,886000,85856.61,33848.93,2.54,93.0,11,1,2025-08-22 11:21:26
003570,58500,5294.55,3393.14,1.56,82.0,170,1,2025-08-22 11:21:26
052330,8770,168.33,587.38,0.29,68.0,1140,1,2025-08-22 11:21:26
054780,4320,118.15,181.95,0.65,71.0,2314,1,2025-08-22 11:21:26
104040,1170,74.62,100.0,1.19,80.0,8547,1,2025-08-22 11:21:26
018470,1495,58.98,100.0,0.77,76.0,6688,1,2025-08-22 11:21:26
086980,2725,47.98,100.0,0.49,67.0,3669,1,2025-08-22 11:21:26
010040,2225,38.8,100.0,0.42,60.0,4494,1,2025-08-22 11:21:26
032750,4065,26.19,247.61,0.11,49.0,2460,1,2025-08-22 11:21:26
009580,2685,19.19,100.0,0.2,57.0,3724,1,2025-08-22 11:21:26
