date,open,high,low,close
20250710,851000,858000,836000,853000
20250711,847000,847000,802000,806000
20250714,808000,819000,791000,807000
20250715,802000,848000,802000,848000
20250716,840000,854000,830000,854000
20250717,855000,912000,847000,896000
20250718,905000,910000,885000,896000
20250721,891000,926000,881000,919000
20250722,916000,923000,905000,922000
20250723,924000,931000,898000,910000
20250724,911000,946000,909000,941000
20250725,933000,951000,933000,945000
20250728,947000,959000,935000,953000
20250729,951000,998000,947000,998000
20250730,998000,998000,963000,977000
20250731,972000,1035000,951000,996000
20250801,987000,989000,910000,939000
20250804,930000,945000,922000,938000
20250805,942000,973000,932000,961000
20250806,952000,953000,925000,936000
20250807,939000,942000,923000,932000
20250808,906000,910000,875000,881000
20250811,875000,896000,875000,880000
20250812,885000,890000,849000,851000
20250813,854000,883000,809000,878000
20250814,880000,895000,875000,883000
20250818,879000,906000,869000,888000
20250819,886000,888000,827000,827000
20250820,809000,829000,801000,816000
20250821,834000,848000,827000,834000
