date,open,high,low,close
20250602,197500,198200,193900,195300
20250604,197300,202500,197200,198700
20250605,199200,204000,197500,201500
20250609,203000,203500,198700,201500
20250610,203000,212500,202000,206500
20250611,210000,214000,205000,208500
20250612,207000,213000,206500,210500
20250613,211000,213500,206500,208500
20250616,208000,208500,201000,205500
20250617,207500,211500,204000,207000
20250618,204500,209500,204000,207500
20250619,208500,210000,204000,206000
20250620,206500,213500,205000,211500
20250623,207500,208000,200500,202500
20250624,207500,216000,206500,211000
20250625,213500,214000,210000,212500
20250626,213500,218000,211000,216000
20250627,217000,218000,208000,209000
20250630,211000,215500,210000,211500
20250701,213000,236000,212000,229000
20250702,227000,241500,226500,240000
20250703,248000,262500,246500,257000
20250704,251000,268500,245000,264500
20250707,267500,270500,257000,258500
20250708,255000,264250,253000,254500
20250709,258000,266500,256000,260000
