거래시간,종목코드,현재가,상승확률(p),손익비(R),켈리비율(f*),주문수량,주문종류,주문결과
2025-09-02 10:09:00.878191,4800,86000,54.5,2.0,0.3175,116,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-02 11:29:33.697074,4800,85400,54.5,2.0,0.3175,1,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-02 11:39:40.145708,4800,85600,54.5,2.0,0.3175,1,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-02 11:49:46.442332,4800,85400,54.5,2.0,0.3175,1,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-02 11:59:52.790774,4800,85500,54.5,2.0,0.3175,1,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-02 12:09:59.143776,4800,85300,54.5,2.0,0.3175,1,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-02 12:30:09.270608,4800,85600,54.5,2.0,0.3175,1,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-02 13:10:28.060069,4800,84700,54.5,2.0,0.3175,2,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-02 13:20:34.463325,4800,84800,54.5,2.0,0.3175,1,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-02 13:40:44.619005,4800,84600,54.5,2.0,0.3175,1,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-02 14:21:02.272284,4800,85000,54.5,2.0,0.3175,1,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-03 11:46:05.316101,4800,84100,54.5,2.0,0.3175,117,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-03 11:46:21.686238,25860,6910,72.7,2.0,0.5905,1447,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-03 11:46:24.192772,86980,2690,64.7,2.0,0.4705,3717,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-03 11:46:26.706768,12450,936000,55.5,2.0,0.3325,10,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-03 11:56:40.521967,25860,6900,72.7,2.0,0.5905,2,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-03 12:06:54.418736,86980,2685,64.7,2.0,0.4705,7,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-03 12:17:08.374690,25860,6910,72.7,2.0,0.5905,2,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-03 12:27:22.158185,25860,6890,72.7,2.0,0.5905,4,매수,모의투자 매수주문이 완료 되었습니다.
2025-09-03 12:37:35.906508,25860,6900,72.7,2.0,0.5905,2,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-03 12:37:38.412926,86980,2690,64.7,2.0,0.4705,7,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-03 12:58:03.558477,25860,6910,72.7,2.0,0.5905,2,매도,모의투자 매도주문이 완료 되었습니다.
2025-09-03 12:58:06.082937,86980,2685,64.7,2.0,0.4705,7,매수,모의투자 매수주문이 완료 되었습니다.
