거래시간,종목코드,현재가,주문수량,주문종류,주문결과
2025-08-26 08:58:50.844142,104040,1172.0,2187,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 08:59:04.209950,056700,1944.0,716,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 08:59:17.635494,054780,4305.0,254,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 08:59:31.033591,012450,903000.0,50,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 08:59:44.440905,019440,16000.0,54,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 08:59:57.794383,077360,4545.0,3,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 09:00:11.197690,018470,1506.0,1,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 09:06:32.689459,012450,883000.0,50,매도,모의투자 매도주문이 완료 되었습니다.
2025-08-26 09:43:23.017007,018470,1492.0,1,매도,모의투자 매도주문이 완료 되었습니다.
2025-08-26 09:48:31.768911,032750,4085.0,125,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 09:48:45.473392,093050,18790.0,376,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 09:51:34.974287,030720,6150.0,85,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:01:20.128121,021320,5090.0,45,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:01:33.774858,066310,7610.0,146,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:09:45.863076,007820,3675.0,288,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:09:59.363491,139480,75100.0,665,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:10:10.184475,002230,4600.0,115,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:10:23.778952,091340,2450.0,122,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:11:39.535527,086980,2765.0,852,매수,모의투자 매수주문이 완료 되었습니다.
2025-08-26 10:11:50.916264,036170,937.0,46,매수,모의투자 주문처리가 안되었습니다(매매불가 종목)
