code,buy_date,buy_price,sell_date,sell_price,profit_pct,sell_reason
029780,2024-07-16,39000.0,2024-07-17,39500.0,1.1,이익
014680,2024-07-24,174900.0,2024-07-25,172400.0,-1.6,손해
000660,2024-07-25,208500.0,2024-07-26,190000.0,-9.04,손해
005880,2024-07-30,2160.0,2024-07-31,2100.0,-2.95,손해
005880,2024-08-01,2165.0,2024-08-02,2255.0,3.97,이익
029780,2024-08-05,40200.0,2024-08-06,39500.0,-1.92,손해
003690,2024-08-06,6688.0,2024-08-07,6755.0,0.82,이익
018310,2024-08-06,17150.0,2024-08-07,18130.0,5.53,이익
037460,2024-08-07,8230.0,2024-08-08,8110.0,-1.63,손해
004250,2024-08-07,3885.0,2024-08-08,4150.0,6.63,이익
050890,2024-08-08,4775.0,2024-08-09,4700.0,-1.75,손해
045100,2024-08-08,17360.0,2024-08-09,17620.0,1.32,이익
037460,2024-08-08,8110.0,2024-08-09,8020.0,-1.29,손해
037460,2024-08-09,8020.0,2024-08-12,8140.0,1.32,이익
018310,2024-08-09,19400.0,2024-08-12,19950.0,2.65,이익
086980,2024-08-09,3740.0,2024-08-12,3805.0,1.56,이익
071200,2024-08-12,4460.0,2024-08-13,4515.0,1.05,이익
005850,2024-08-12,33400.0,2024-08-13,34400.0,2.81,이익
020710,2024-08-12,4200.0,2024-08-13,4290.0,1.96,이익
005880,2024-08-14,2050.0,2024-08-16,2090.0,1.77,이익
005880,2024-08-16,2090.0,2024-08-19,2000.0,-4.48,손해
005880,2024-08-19,2000.0,2024-08-20,1938.0,-3.27,손해
036530,2024-08-20,22250.0,2024-08-21,22550.0,1.17,이익
050890,2024-08-20,4770.0,2024-08-21,4840.0,1.29,이익
015760,2024-08-20,19220.0,2024-08-21,19970.0,3.72,이익
003300,2024-08-21,13420.0,2024-08-22,13730.0,2.13,이익
000660,2024-08-29,179300.0,2024-08-30,169700.0,-5.52,손해
020710,2024-09-06,3945.0,2024-09-09,3890.0,-1.57,손해
020710,2024-09-09,3890.0,2024-09-10,3945.0,1.23,이익
001120,2024-09-09,29900.0,2024-09-10,29500.0,-1.51,손해
222080,2024-09-12,9530.0,2024-09-13,9720.0,1.81,이익
001450,2024-09-13,32750.0,2024-09-19,33300.0,1.5,이익
453340,2024-09-20,11900.0,2024-09-23,12060.0,1.16,이익
300720,2024-09-20,14400.0,2024-09-23,14140.0,-1.98,손해
453340,2024-09-23,12060.0,2024-09-24,11870.0,-1.75,손해
241560,2024-09-25,42350.0,2024-09-26,41150.0,-3.01,손해
097520,2024-09-25,18250.0,2024-09-26,18450.0,0.92,이익
105560,2024-09-27,81200.0,2024-09-30,83800.0,3.02,이익
000270,2024-10-02,99900.0,2024-10-04,98700.0,-1.38,손해
005850,2024-10-07,34250.0,2024-10-08,34600.0,0.84,이익
001450,2024-10-10,30800.0,2024-10-11,31200.0,1.12,이익
