거래시간,종목코드,현재가,상승확률(%),기대수익,예상손실,손익비,주문수량,주문종류,주문결과,상증확률(%)
2025-07-07 17:13:15,51360.0,15700.0,87.0,585.66,483.42,1.21,2068.0,매수,모의투자 주문이 불가한 계좌입니다.,
2025-07-07 17:13:21,29780.0,51700.0,94.0,4209.63,613.95,6.86,1628.0,매수,모의투자 주문이 불가한 계좌입니다.,
2025-07-07 17:13:27,35900.0,71100.0,71.0,1775.51,2752.62,0.65,363.0,매수,모의투자 주문이 불가한 계좌입니다.,
2025-07-10 11:42:23,134380.0,78800.0,78.0,1192.91,1055.91,1.13,947.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-10 11:42:29,3960.0,45600.0,88.0,4293.39,2052.75,2.09,487.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-10 11:42:36,137400.0,31100.0,77.0,1458.74,1228.55,1.19,813.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-10 17:14:22,1120.0,31600.0,94.0,2325.8,514.42,4.52,726.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:14:26,34950.0,99800.0,89.0,5903.31,2463.62,2.4,80.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:14:30,79960.0,25350.0,95.0,1700.22,328.58,5.17,1302.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:14:56,1120.0,31600.0,96.0,1990.66,583.59,3.41,465.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:15:00,34950.0,99800.0,97.0,6635.52,1792.41,3.7,164.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:15:03,79960.0,25350.0,97.0,1728.8,318.02,5.44,1362.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:15:30,1120.0,31600.0,93.0,2131.35,680.45,3.13,553.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:15:33,34950.0,99800.0,88.0,4586.24,2878.36,1.59,66.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:15:37,79960.0,25350.0,92.0,1492.43,416.05,3.59,1037.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:16:04,1120.0,31600.0,90.0,2080.32,649.27,3.2,400.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:16:07,34950.0,99800.0,93.0,5534.92,2435.3,2.27,75.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:16:11,79960.0,25350.0,97.0,1885.75,275.26,6.85,2018.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:16:38,1120.0,31600.0,92.0,2260.21,577.06,3.92,598.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:16:41,34950.0,99800.0,93.0,5484.16,2359.61,2.32,86.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:16:45,79960.0,25350.0,97.0,1746.51,342.04,5.11,1315.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:17:11,1120.0,31600.0,91.0,2337.02,624.76,3.74,487.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:17:15,34950.0,99800.0,93.0,5445.29,2378.46,2.29,78.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:17:19,79960.0,25350.0,94.0,1727.56,276.64,6.24,1839.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:17:45,1120.0,31600.0,90.0,1941.81,642.19,3.02,466.0,매수,모의투자 장종료 입니다.,
2025-07-10 17:17:49,34950.0,99800.0,87.0,5859.41,2824.41,2.07,72.0,매수,모의투자 장종료 입니다.,
